IGT_score_type,IGT_scores,DRD2
P,NaN,0
P,-4,0
P,44,0
P,18,1
P,52,0
P,-22,0
P,12,0
P,54,0
P,14,NaN
P,6,0
P,-6,0
P,4,1
P,-14,0
P,-20,1
P,40,0
P,14,0
P,52,0
P,44,0
P,52,0
P,-32,1
P,-18,1
P,-14,0
P,42,0
P,54,1
P,-32,0
P,14,0
P,-46,0
P,20,1
P,2,0
P,22,0
P,38,0
P,26,1
P,10,0
P,-30,1
P,8,0
P,-6,0
P,6,0
P,40,1
P,2,0
P,4,0
P,40,0
P,NaN,0
P,54,0
P,80,0
P,20,0
P,14,0
P,16,0
P,68,1
P,-24,0
P,-16,0
P,12,1
P,30,0
P,-16,1
P,12,0
P,-38,0
P,34,0
P,70,0
P,36,0
P,0,0
P,-16,1
P,-6,0
P,34,0
P,-16,0
P,-42,1
P,44,0
P,58,0
P,-14,1
P,8,1
P,38,0
P,-22,0
P,-12,0
P,2,0
P,-92,0
P,40,1
P,NaN,0
P,42,0
P,36,0
P,12,0
P,14,1
P,8,0
P,38,0
P,14,0
P,30,0
P,2,1
P,-12,1
P,6,1
P,-16,0
P,-32,0
P,52,0
P,62,0
P,-48,0
P,-10,0
P,-12,0
P,-4,0
P,NaN,0
P,NaN,0
P,20,0
P,54,0
P,6,0
P,0,1
P,20,0
P,-12,1
P,46,0
P,-24,1
P,54,1
P,2,0
P,34,0
P,62,0
P,6,1
P,-12,1
P,20,1
P,-16,1
P,52,0
P,-34,0
P,46,0
P,0,1
P,2,1
P,54,0
P,40,0
P,-42,1
P,60,0
P,36,0
P,-6,0
P,-2,0
P,40,0
P,40,0
P,36,0
P,NaN,0
P,12,0
P,-18,0
P,48,1
P,34,1
P,26,0
P,2,1
P,54,0
P,42,0
P,6,1
P,40,0
P,-6,1
P,38,0
P,34,0
P,-12,0
P,16,0
P,72,0
P,10,0
P,-24,0
P,26,0
P,58,1
P,NaN,0
P,40,0
P,20,0
P,38,0
P,50,0
P,-18,0
P,-48,0
P,6,0
P,50,0
P,-22,1
P,38,0
P,2,0
P,-16,1
P,46,0
P,62,0
P,58,0
P,8,1
P,NaN,1
P,38,0
P,46,0
P,4,0
P,-40,0
P,NaN,0
P,2,0
P,-2,1
P,-10,0
P,26,1
P,-10,0
P,10,1
P,52,0
P,58,0
P,-4,0
P,16,0
P,44,1
P,34,1
P,8,1
P,10,1
P,0,0
P,32,0
P,14,0
P,8,1
P,32,0
P,-14,1
P,72,0
P,-2,0
P,44,1
P,44,0
P,56,0
P,-4,0
P,42,0
P,48,0
P,-8,1
P,42,0
P,44,0
P,32,0
P,6,0
P,-4,0
P,-4,1
P,52,0
P,-2,0
P,12,0
P,-10,0
P,2,0
P,10,0
P,52,0
P,-6,0
P,NaN,0
P,78,0
P,2,0
P,52,0
P,32,1
P,NaN,0
P,-16,0
P,-4,0
P,0,1
P,12,0
P,40,0
P,-10,0
P,4,0
P,14,0
P,-22,0
P,-10,0
P,24,0
P,20,0
P,-2,1
P,12,1
P,-12,0
P,NaN,0
P,-10,1
P,28,1
P,-24,0
P,12,0
P,8,0
P,4,0
P,36,0
P,8,0
P,20,0
P,66,0
P,48,0
P,-42,0
P,38,1
P,58,0
P,-2,0
P,NaN,0
P,44,0
P,2,0
P,20,1
P,26,1
P,-6,0
P,-20,0
P,38,0
P,-58,1
P,-48,1
P,30,0
P,62,0
P,-32,1
P,-20,1
P,8,0
P,46,0
P,34,0
P,14,0
P,24,1
P,34,0
P,46,0
P,-6,0
P,-30,0
P,42,1
P,-6,0
P,34,0
P,32,0
P,48,0
P,10,1
P,-6,0
P,NaN,1
P,58,0
P,2,0
P,12,0
P,NaN,0
P,4,0
P,20,0
P,26,0
P,2,1
P,6,0
P,10,0
P,64,0
P,58,0
P,16,0
P,12,1
P,NaN,0
P,58,1
P,30,1
P,10,1
P,52,1
P,36,0
P,62,0
P,34,0
P,2,1
P,16,0
P,30,0
P,-40,1
P,58,0
P,38,1
P,14,0
P,12,0
P,2,1
P,-2,1
P,NaN,1
P,50,0
P,-44,0
P,38,1
P,-22,0
P,-6,0
P,32,0
P,14,0
P,40,1
P,18,0
P,-44,1
P,64,1
P,54,1
P,-14,0
P,44,0
P,2,1
P,32,0
P,58,0
P,NaN,0
P,30,0
P,64,1
P,-12,1
P,8,0
P,70,0
P,62,1
P,12,0
P,-2,0
P,96,0
P,0,0
P,-4,0
P,40,0
P,58,1
P,-6,1
P,56,0
P,-4,0
P,56,0
P,58,0
P,66,0
P,0,0
P,20,0
P,30,0
P,22,1
P,12,1
P,-4,1
P,0,1
P,-42,1
P,34,0
P,42,0
P,-16,0
P,-38,1
P,46,0
P,-18,1
P,-18,0
P,NaN,1
P,0,1
P,72,0
P,-4,1
P,-6,0
P,-14,0
P,38,0
P,86,0
P,12,0
P,38,0
P,-8,0
P,24,0
P,26,0
P,-8,0
P,10,0
P,38,1
P,-22,0
P,18,1
P,30,1
P,26,1
P,30,0
P,6,1
P,68,0
P,44,0
P,46,0
P,16,0
P,18,0
P,-30,0
P,0,0
P,-16,0
P,50,0
P,44,0
P,60,1
P,4,1
P,14,0
P,-2,0
P,6,0
P,72,0
P,-2,0
P,-2,0
P,48,0
P,58,0
P,-58,0
P,50,0
P,-34,0
P,54,1
P,36,0
P,-8,0
P,60,0
P,NaN,0
P,52,0
P,16,1
P,32,0
P,24,0
P,44,1
P,4,0
P,48,0
P,20,0
P,-8,0
P,-18,0
P,18,0
P,0,0
P,NaN,0
P,40,0
P,12,0
P,28,1
P,18,1
P,0,0
P,6,1
P,20,0
P,54,0
P,12,0
P,12,0
P,-4,0
P,62,0
P,36,0
P,2,0
P,NaN,0
P,26,1
P,-6,1
P,50,0
P,NaN,1
P,4,0
P,34,0
P,14,0
P,-4,1
P,24,0
P,-16,0
P,-48,1
P,36,0
P,38,0
P,48,0
P,-8,1
P,-26,0
P,-8,0
P,50,0
P,-16,0
P,38,0
P,40,0
P,52,0
P,12,0
P,-50,0
P,-20,1
P,26,1
P,46,0
P,10,1
P,16,0
P,-50,1
P,-12,0
P,-2,1
P,-60,0
P,0,1
P,10,0
P,6,0
P,-16,0
P,-18,0
P,62,0
P,-40,0
P,-32,1
P,38,0
P,-4,0
P,-16,0
P,-54,0
Q,NaN,0
Q,12,0
Q,62,0
Q,36,1
Q,10,0
Q,50,0
Q,30,0
Q,48,0
Q,42,NaN
Q,38,0
Q,54,0
Q,40,1
Q,12,0
Q,68,1
Q,12,0
Q,38,0
Q,52,0
Q,62,0
Q,44,0
Q,-20,1
Q,54,1
Q,64,0
Q,38,0
Q,48,1
Q,12,0
Q,46,0
Q,52,0
Q,12,1
Q,30,0
Q,8,0
Q,46,0
Q,36,1
Q,30,0
Q,36,1
Q,64,0
Q,6,0
Q,10,0
Q,58,1
Q,26,0
Q,62,0
Q,-20,0
Q,NaN,0
Q,-6,0
Q,20,0
Q,38,0
Q,62,0
Q,18,0
Q,38,1
Q,32,0
Q,34,0
Q,34,1
Q,32,0
Q,2,1
Q,50,0
Q,56,0
Q,72,0
Q,32,0
Q,68,0
Q,34,0
Q,12,1
Q,18,0
Q,28,0
Q,36,0
Q,40,1
Q,46,0
Q,48,0
Q,28,1
Q,44,1
Q,48,0
Q,36,0
Q,-4,0
Q,6,0
Q,18,0
Q,64,1
Q,NaN,0
Q,54,0
Q,44,0
Q,38,0
Q,38,1
Q,50,0
Q,62,0
Q,20,0
Q,22,0
Q,54,1
Q,30,1
Q,16,1
Q,18,0
Q,46,0
Q,6,0
Q,48,0
Q,48,0
Q,34,0
Q,26,0
Q,22,0
Q,NaN,0
Q,NaN,0
Q,22,0
Q,42,0
Q,-18,0
Q,26,1
Q,8,0
Q,40,1
Q,54,0
Q,30,1
Q,48,1
Q,10,0
Q,18,0
Q,-24,0
Q,22,1
Q,72,1
Q,8,1
Q,76,1
Q,40,0
Q,14,0
Q,54,0
Q,48,1
Q,0,1
Q,-36,0
Q,22,0
Q,4,1
Q,-2,0
Q,48,0
Q,8,0
Q,50,0
Q,44,0
Q,36,0
Q,-8,0
Q,NaN,0
Q,68,0
Q,28,0
Q,-32,1
Q,56,1
Q,60,0
Q,56,1
Q,56,0
Q,60,0
Q,8,1
Q,56,0
Q,8,1
Q,60,0
Q,42,0
Q,24,0
Q,46,0
Q,38,0
Q,10,0
Q,46,0
Q,52,0
Q,48,1
Q,NaN,0
Q,44,0
Q,-14,0
Q,-4,0
Q,-28,0
Q,46,0
Q,42,0
Q,40,0
Q,26,0
Q,44,1
Q,62,0
Q,14,0
Q,62,1
Q,-2,0
Q,-2,0
Q,36,0
Q,24,1
Q,NaN,1
Q,68,0
Q,-4,0
Q,60,0
Q,62,0
Q,NaN,0
Q,-2,0
Q,24,1
Q,46,0
Q,64,1
Q,-2,0
Q,30,1
Q,2,0
Q,-34,0
Q,34,0
Q,4,0
Q,48,1
Q,58,1
Q,16,1
Q,14,1
Q,48,0
Q,40,0
Q,2,0
Q,62,1
Q,76,0
Q,4,1
Q,38,0
Q,24,0
Q,58,1
Q,48,0
Q,54,0
Q,44,0
Q,48,0
Q,-30,0
Q,30,1
Q,50,0
Q,56,0
Q,34,0
Q,26,0
Q,64,0
Q,22,1
Q,-14,0
Q,34,0
Q,40,0
Q,46,0
Q,40,0
Q,8,0
Q,40,0
Q,8,0
Q,NaN,0
Q,-32,0
Q,40,0
Q,54,0
Q,-8,1
Q,NaN,0
Q,42,0
Q,-8,0
Q,24,1
Q,40,0
Q,58,0
Q,50,0
Q,74,0
Q,36,0
Q,72,0
Q,32,0
Q,58,0
Q,64,0
Q,26,1
Q,36,1
Q,-8,0
Q,NaN,0
Q,14,1
Q,34,1
Q,10,0
Q,22,0
Q,36,0
Q,38,0
Q,-22,0
Q,50,0
Q,36,0
Q,-26,0
Q,62,0
Q,28,0
Q,58,1
Q,38,0
Q,12,0
Q,NaN,0
Q,0,0
Q,10,0
Q,26,1
Q,0,1
Q,18,0
Q,18,0
Q,-16,0
Q,42,1
Q,46,1
Q,60,0
Q,-12,0
Q,62,1
Q,48,1
Q,40,0
Q,60,0
Q,14,0
Q,48,0
Q,16,1
Q,-14,0
Q,48,0
Q,12,0
Q,6,0
Q,0,1
Q,22,0
Q,76,0
Q,30,0
Q,58,0
Q,24,1
Q,12,0
Q,NaN,1
Q,-40,0
Q,46,0
Q,32,0
Q,NaN,0
Q,0,0
Q,52,0
Q,40,0
Q,40,1
Q,40,0
Q,42,0
Q,6,0
Q,44,0
Q,56,0
Q,72,1
Q,NaN,0
Q,48,1
Q,26,1
Q,0,1
Q,48,1
Q,62,0
Q,-40,0
Q,44,0
Q,12,1
Q,30,0
Q,-32,0
Q,60,1
Q,48,0
Q,48,1
Q,50,0
Q,20,0
Q,36,1
Q,44,1
Q,NaN,1
Q,-46,0
Q,46,0
Q,56,1
Q,34,0
Q,66,0
Q,44,0
Q,14,0
Q,62,1
Q,42,0
Q,46,1
Q,16,1
Q,-38,1
Q,50,0
Q,0,0
Q,12,1
Q,26,0
Q,-24,0
Q,NaN,0
Q,32,0
Q,38,1
Q,30,1
Q,12,0
Q,-10,0
Q,38,1
Q,24,0
Q,16,0
Q,-20,0
Q,4,0
Q,62,0
Q,56,0
Q,48,1
Q,8,1
Q,44,0
Q,18,0
Q,46,0
Q,44,0
Q,-36,0
Q,28,0
Q,36,0
Q,20,0
Q,18,1
Q,24,1
Q,74,1
Q,4,1
Q,30,1
Q,46,0
Q,40,0
Q,30,0
Q,52,1
Q,44,0
Q,16,1
Q,86,0
Q,NaN,1
Q,42,1
Q,-30,0
Q,54,1
Q,68,0
Q,24,0
Q,-2,0
Q,-26,0
Q,8,0
Q,20,0
Q,40,0
Q,46,0
Q,12,0
Q,30,0
Q,12,0
Q,72,1
Q,70,0
Q,18,1
Q,44,1
Q,46,1
Q,42,0
Q,-18,1
Q,38,0
Q,38,0
Q,56,0
Q,18,0
Q,50,0
Q,14,0
Q,0,0
Q,50,0
Q,52,0
Q,56,0
Q,-24,1
Q,22,1
Q,-24,0
Q,42,0
Q,30,0
Q,38,0
Q,36,0
Q,32,0
Q,-46,0
Q,48,0
Q,44,0
Q,40,0
Q,76,0
Q,48,1
Q,32,0
Q,46,0
Q,30,0
Q,NaN,0
Q,44,0
Q,18,1
Q,54,0
Q,28,0
Q,38,1
Q,28,0
Q,48,0
Q,36,0
Q,-6,0
Q,58,0
Q,52,0
Q,36,0
Q,NaN,0
Q,40,0
Q,44,0
Q,8,1
Q,44,1
Q,42,0
Q,-10,1
Q,74,0
Q,52,0
Q,42,0
Q,52,0
Q,-2,0
Q,-6,0
Q,4,0
Q,36,0
Q,NaN,0
Q,60,1
Q,22,1
Q,50,0
Q,NaN,1
Q,32,0
Q,68,0
Q,58,0
Q,28,1
Q,16,0
Q,34,0
Q,34,1
Q,-32,0
Q,58,0
Q,54,0
Q,52,1
Q,68,0
Q,72,0
Q,40,0
Q,66,0
Q,32,0
Q,60,0
Q,48,0
Q,72,0
Q,46,0
Q,56,1
Q,-10,1
Q,50,0
Q,48,1
Q,40,0
Q,40,1
Q,46,0
Q,-12,1
Q,44,0
Q,34,1
Q,44,0
Q,-10,0
Q,42,0
Q,22,0
Q,48,0
Q,60,0
Q,56,1
Q,36,0
Q,20,0
Q,44,0
Q,42,0
